JOB NAME,CONDITION,JOBS NOT IN SAME WAVE
mavel_d_vel_31as15v_FedEx_Homeland_Elig,s(mavel_d_vel_31as15v_FedEx_Impact_Training_Elig),[]
mmemsg_d_jrnev_emea_box,(s(mmemsg_w_jrnev_emea_box) & s(mmemsg_w_sun_jrnev_emea_box)),[]
mmebkp_d_jrnev_emea_backup_box,s(mmemsg_d_jrnev_emea_ro_box),[]
mmemsg_d_jrnev_emea_start_box,s(mmebkp_d_jrnev_emea_backup_box),[]
mmemsg_w_jrnev_emea_box,(s(mmemsg_d_jrnev_emea_box) & s(mmemsg_w_sun_jrnev_emea_box)),[]
mmebkp_w_jrnev_emea_backup_box,s(mmemsg_w_jrnev_emea_ro_box),[]
mmemsg_w_jrnev_emea_start_box,s(mmebkp_w_jrnev_emea_backup_box),[]
mmemsg_w_sun_jrnev_emea_box,(s(mmemsg_w_jrnev_emea_box) & s(mmemsg_d_jrnev_emea_box)),[]
mmebkp_w_sun_jrnev_emea_backup_box,s(mmemsg_w_sun_jrnev_emea_ro_box),[]
mmemsg_w_sun_jrnev_emea_start_box,s(mmebkp_w_sun_jrnev_emea_backup_box),[]
medm_mmx_wpp_to_benefitfocus,s(medm_mmx_wpp_filewatcher),[]
medm_mmx_slb_to_benefitfocus_mm365,s(medm_mmx_slb_filewatcher_1),[]
medm_mmx_cam_to_benefitfocus_mm365,s(medm_mmx_cam_filewatcher_1),[]
mavel_d_vel_CFA_FF_Report_WC,s(mavel_d_vel_CFA_FF_Report_GL),[]
medm_mmx_cam_Healthy_Futures_box,s(medm_mmx_cam_load_box_mm365_1) & s(medm_mmx_Healthy_Futures_prd_mm365_xfer),[]
medm_mmx_cam_Healthy_Futures_MM365,s(medm_mmx_cam_Healthy_Futures_filewatcher),[]
medm_mmx_slb_Healthy_Futures_box,s(medm_mmx_slb_load_box_mm365_1) & s(medm_mmx_Healthy_Futures_prd_mm365_xfer),[]
medm_mmx_slb_Healthy_Futures_MM365,s(medm_mmx_slb_Healthy_Futures_filewatcher),[]
medm_mmx_Healthy_Futures_prd_mm365_xfer,s(medm_mmx_slb_cam_combine_MM365_box),[]
medm_mmx_slb_cam_combine_MM365_box,s(medm_mmx_cam_load_box_mm365_1) & s(medm_mmx_slb_load_box_mm365_1) & s(medm_mmx_cam_Healthy_Futures_box) & s(medm_mmx_slb_Healthy_Futures_box),[]
medm_mmx_slb_cam_combine_email,s(medm_mmx_slb_cam_combine),[]
mechat_w_ChatSessionDetailsArchive,s(mechat_w_chatsarchive),[]
mechat_w_ChatTransmissionArchive,s(mechat_w_ChatSessionDetailsArchive),[]
medm_mmx_WPP_MM365P_filewatcher,s(medm_mmx_wpp_load_box),[]
medm_mmx_WPP_to_MM356P,s(medm_mmx_WPP_MM365P_filewatcher),[]
memmx_d_win_load_deva_init_emp_file_uat_job,s(memmx_d_win_watch_deva_init_emp_file_uat_job) & s(memmx_d_win_load_deva_emp_uat_job),[]
memmx_d_win_load_deva_init_dep_file_uat_job,s(memmx_d_win_load_deva_init_emp_file_uat_job) & s(memmx_d_win_watch_deva_init_dep_file_uat_job) & s(memmx_d_win_load_deva_dep_uat_job),[]
memmx_d_win_load_deva_dep_uat_job,s(memmx_d_win_load_deva_emp_uat_job),[]
mepetl_wcc_create_file,s(mepetl_wcc_create_lookup),[]
mepetl_wcc_move_file,s(mepetl_wcc_create_file),[]
mepetl_d_bw_load_data,s(mepetl_d_bw_rename_files),[]
mepetl_d_bw_delete_data,s(mepetl_d_bw_load_data),[]
mepetl_d_bw_reporting,s(mepetl_d_bw_delete_data),[]
mepetl_d_bw_email_report,s(mepetl_d_bw_reporting),[]
mepetl_image_load_file,s(mepetl_image_rename_files),[]
mepetl_image_batch_details,s(mepetl_image_load_file),[]
mepetl_d_bw_email_daily_report,s(mepetl_d_bw_create_report),[]
medm_u_mm365c_aap_belong_copy,s(medm_u_mm365b_aap_belong_fw),[]
medm_u_mm365d_aap_belong_incident,f(medm_u_mm365c_aap_belong_copy),[]
medm_ibc_docprod_shipconfirm_load,s(medm_ibc_docprod_filewatcher),[]
medm_ibc_Universal_Wilde_Backfeed_to_BeneCalc,s(medm_ibc_docprod_shipconfirm_load) & s(medm_ibc_docprod_filewatcher),[]
mepetl_w_trunc_info10_log,s(mepetl_w_backup_info10),[]
