BOXNAME,OLDCOUNT,NEWCOUNT,DIFFERENCE
mmemsg_d_jrnev_emea_start_box,0,6,6
mmemsg_d_ev_emea_box,2,6,4
mmemsg_d_ev_emea_checkstart_box,7,7,0
mmemsg_w_ev_emea_box,2,6,4
mmemsg_w_sun_jrnev_emea_start_box,0,6,6
mmemsg_w_sun_ev_emea_box,2,6,4
mmfisdba_d_ebs-ris_X1_box,2,6,4
mmemsg_d_ev_canada_checkstart_box,1,1,0
mmemsg_w_jrnev_emea_ro_box,6,6,0
mmemsg_d_ev_nasa_checkstart_box,8,8,0
mmemsg_w_ev_nasa_checkstart_box,8,8,0
mmemsg_w_ev_emea_checkstart_box,7,7,0
mmemsg_d_jrnev_emea_ro_box,6,6,0
mmemsg_w_sun_jrnev_emea_ro_box,6,6,0
mmemsg_w_ev_APAC_checkstart_box,4,4,0
mmemsg_w_jrnev_emea_box,2,3,1
mmemsg_w_sun_ev_emea_start_box,14,14,0
mmfisdba_d_ebs-ris_X2_box,2,6,4
mmbkp_w_ev_emea_backup_box,7,31,24
mmemsg_w_sun_ev_APAC_checkstart_box,4,4,0
mmemsg_w_ev_canada_checkstart_box,1,1,0
mmemsg_d_ev_emea_ro_box,14,14,0
mmuxbau_d_hoefer_prod_box,1,1,0
mmemsg_w_sun_ev_canada_checkstart_box,1,1,0
mmemsg_w_sun_ev_nasa_checkstart_box,8,8,0
mmfisdba_d_ebs-con_X2_box,2,6,4
mmemsg_w_sun_ev_emea_checkstart_box,7,7,0
mmemsg_d_ev_APAC_checkstart_box,4,4,0
mmemsg_w_sun_jrnev_emea_box,2,3,1
mmemsg_d_ev_emea_start_box,14,14,0
mmemsg_d_jrnev_emea_box,2,3,1
mmemsg_w_sun_ev_emea_ro_box,14,14,0
mmemsg_w_ev_emea_start_box,14,14,0
mmemsg_w_jrnev_emea_start_box,0,6,6
mmfisdba_d_ebs-con_X1_box,2,6,4
EXCESSBOXES,,
mmbkp_d_ev_emea_backup_box,0,0,0
mmbkp_w_sun_ev_emea_backup_box,0,0,0
mmebkp_w_jrnev_emea_backup_box,0,0,0
mmbkp_w_ev_emea_mountclones_box,0,0,0
mmebkp_d_jrnev_emea_backup_box,0,0,0
mmbkp_d_ev_emea_unmountclones_box,0,0,0
mmebkp_w_sun_jrnev_emea_backup_box,0,0,0
mmbkp_w_sun_ev_emea_unmountclones_box,0,0,0
mmbkp_w_ev_emea_buclones_box,0,0,0
mmbkp_w_ev_emea_unmountclones_box,0,0,0
mmbkp_d_ev_emea_buclones_box,0,0,0
mmbkp_w_sun_ev_emea_mountclones_box,0,0,0
mmbkp_d_ev_emea_mountclones_box,0,0,0
mmbkp_w_sun_ev_emea_buclones_box,0,0,0
